	mt	wt	WW1	WD1
GRMZM2G033138	49.0915	17.1798	17.1798	49.0915
GRMZM2G016939	23.9182	36.064	36.064	23.9182
GRMZM2G168397	32.0472	14.2851	14.2851	32.0472
GRMZM2G542227	0	2.9536	2.9536	0
GRMZM2G405022	0.133064	1.94357	1.94357	0.133064
GRMZM2G133752	0.0372231	0.143384	0.143384	0.0372231
GRMZM2G034025	32.8164	20.2021	20.2021	32.8164
GRMZM2G423486	0	0.0274736	0.0274736	0
GRMZM2G013657	54.0731	19.335	19.335	54.0731
GRMZM2G416518	0.50549	0.425045	0.425045	0.50549
GRMZM2G080887	0.196923	0	0	0.196923
GRMZM2G133566	10.8876	6.75382	6.75382	10.8876
GRMZM2G140612	108.778	47.589	47.589	108.778
GRMZM2G383854	1.3946	1.61355	1.61355	1.3946
GRMZM2G368411	0	0	0	0
AC205907.3_FG004	0	0	0	0
GRMZM2G067235	1.45253	4.72662	4.72662	1.45253
GRMZM2G094713	0	0	0	0
GRMZM2G457193	0.781566	0.95094	0.95094	0.781566
GRMZM2G451882	95.151	42.3506	42.3506	95.151
GRMZM2G041959	2.76875	2.30772	2.30772	2.76875
GRMZM2G150453	0	0	0	0
GRMZM2G098606	34.9512	20.0209	20.0209	34.9512
GRMZM5G823004	21.9403	20.8068	20.8068	21.9403
GRMZM2G043575	0	0	0	0
AC204897.3_FG007	0.12963	0	0	0.12963
GRMZM2G337190	0.49453	0.567723	0.567723	0.49453
GRMZM2G006734	0	0	0	0
GRMZM2G116258	39.4256	22.0255	22.0255	39.4256
GRMZM2G051197	0.0971137	0.100845	0.100845	0.0971137
GRMZM2G087918	7.49121	6.13858	6.13858	7.49121
GRMZM2G079938	11.8232	19.7555	19.7555	11.8232
GRMZM5G859193	1.16844	2.11488	2.11488	1.16844
GRMZM2G088413	0.0733278	0.177248	0.177248	0.0733278
GRMZM2G081060	11.9528	23.0272	23.0272	11.9528
GRMZM2G045580	0.0214035	0	0	0.0214035
GRMZM2G005643	0	0	0	0
GRMZM2G117240	182.286	57.2381	57.2381	182.286
GRMZM2G090542	13.6085	25.358	25.358	13.6085
GRMZM2G042811	0	0	0	0
GRMZM2G389240	0	0	0	0
GRMZM2G175425	0	0	0	0
GRMZM2G080889	44.4766	35.8712	35.8712	44.4766
GRMZM2G057694	0	0	0	0
GRMZM2G047616	0	0	0	0
GRMZM2G125151	0	0	0	0
GRMZM2G046776	0	0	0	0
GRMZM6G449101	11.4137	0.0758274	0.0758274	11.4137
AC202179.3_FG005	0	0	0	0
GRMZM2G070092	0.238269	0.282831	0.282831	0.238269
GRMZM2G412254	0	0	0	0
GRMZM2G020676	1.4831	2.00872	2.00872	1.4831
GRMZM2G137518	0	0	0	0
AC217887.3_FG004	1.64386	1.98691	1.98691	1.64386
GRMZM2G066041	9.26443	12.0054	12.0054	9.26443
GRMZM2G370026	0.241519	1.31598	1.31598	0.241519
GRMZM2G412156	0	0	0	0
GRMZM2G099862	37.8016	76.7092	76.7092	37.8016
GRMZM2G025992	50.6349	49.1944	49.1944	50.6349
GRMZM2G462243	0	0.0247669	0.0247669	0
GRMZM2G017847	0.191455	0.272485	0.272485	0.191455
GRMZM5G868222	10.4426	12.1452	12.1452	10.4426
GRMZM2G171223	84.5354	5.69585	5.69585	84.5354
GRMZM2G414791	0.0316147	0	0	0.0316147
GRMZM2G125072	4.11391	1.86636	1.86636	4.11391
GRMZM2G046824	31.5544	20.6208	20.6208	31.5544
GRMZM2G053707	2.49386	3.47892	3.47892	2.49386
GRMZM2G044143	10.9322	11.6386	11.6386	10.9322
GRMZM2G135935	7.90084	2.70885	2.70885	7.90084
GRMZM2G142261	0	0	0	0
GRMZM2G142870	4.02858	9.29576	9.29576	4.02858
GRMZM2G166694	70.2716	58.3554	58.3554	70.2716
GRMZM2G174396	0.0803613	0.47378	0.47378	0.0803613
GRMZM2G134234	14.3775	29.7433	29.7433	14.3775
GRMZM2G466908	1.53335	3.25617	3.25617	1.53335
GRMZM2G008490	102.206	24.1602	24.1602	102.206
GRMZM2G160444	54.8771	92.5206	92.5206	54.8771
GRMZM2G046615	0	0	0	0
GRMZM2G094396	0.648015	0	0	0.648015
GRMZM2G163939	68.2354	509.416	509.416	68.2354
GRMZM2G365644	0	0	0	0
GRMZM2G170420	69.2982	73.962	73.962	69.2982
GRMZM2G082792	2.51331	3.54334	3.54334	2.51331
AC233959.1_FG003	2.11837	3.95752	3.95752	2.11837
GRMZM2G057208	0	0	0	0
GRMZM5G832378	7.94257	14.1966	14.1966	7.94257
GRMZM5G812555	194.267	123.813	123.813	194.267
GRMZM2G025340	36.3142	29.4461	29.4461	36.3142
GRMZM2G114992	1.2536	0	0	1.2536
GRMZM2G038973	18.2152	10.6114	10.6114	18.2152
AC194273.3_FG007	0	0	0	0
GRMZM2G103721	27.6219	13.0566	13.0566	27.6219
GRMZM2G053177	0	0	0	0
AC186147.3_FG008	2.03344	3.22896	3.22896	2.03344
AC212323.4_FG005	0	0	0	0
GRMZM2G000710	34.5671	45.2398	45.2398	34.5671
GRMZM2G169341	0	0	0	0
GRMZM2G145051	0	0	0	0
GRMZM2G025190	0.173864	0.173112	0.173112	0.173864
GRMZM2G125529	77.3075	9.34761	9.34761	77.3075
GRMZM2G055462	0.0724273	0.0172162	0.0172162	0.0724273
GRMZM2G048411	32.3588	23.4582	23.4582	32.3588
GRMZM2G104231	0.0514809	0	0	0.0514809
GRMZM2G701806	0	0	0	0
GRMZM5G803952	326.054	591.673	591.673	326.054
GRMZM2G018793	0	0	0	0
GRMZM2G451965	6.21945	1.30057	1.30057	6.21945
GRMZM2G314940	0	0	0	0
GRMZM2G703714	0	0	0	0
GRMZM2G176940	0	0	0	0
GRMZM2G420713	168.853	178.008	178.008	168.853
GRMZM2G583462	0	0	0	0
GRMZM2G158232	242.664	0.283683	0.283683	242.664
GRMZM2G457309	1.01761	4.11761	4.11761	1.01761
GRMZM2G065317	0.106695	0.0662335	0.0662335	0.106695
GRMZM5G864490	0	0	0	0
GRMZM2G132568	65.7081	51.7436	51.7436	65.7081
GRMZM2G326226	0	0.00816598	0.00816598	0
GRMZM2G015703	19.6678	30.7826	30.7826	19.6678
GRMZM2G004984	0	0	0	0
GRMZM2G131928	0.0293076	0	0	0.0293076
AC214287.3_FG005	0	0	0	0
GRMZM2G015267	5.82967	8.85153	8.85153	5.82967
GRMZM2G097746	13.3767	33.0893	33.0893	13.3767
GRMZM2G103108	0	0	0	0
GRMZM2G122276	0.108148	0.17287	0.17287	0.108148
GRMZM2G099376	0	0.91377	0.91377	0
GRMZM2G320827	52.1269	21.7882	21.7882	52.1269
GRMZM2G123440	11.4955	42.7654	42.7654	11.4955
zma-MIR393c	0	0	0	0
GRMZM2G136389	36.444	8.59072	8.59072	36.444
GRMZM2G094639	0.689477	30.8342	30.8342	0.689477
GRMZM2G377369	44.9709	21.0761	21.0761	44.9709
GRMZM2G099463	10.2575	13.6889	13.6889	10.2575
GRMZM2G024739	7.35872	5.24579	5.24579	7.35872
GRMZM2G123063	0.377837	0.684284	0.684284	0.377837
GRMZM2G145444	8.39811	10.7164	10.7164	8.39811
GRMZM2G045257	13.4774	12.8743	12.8743	13.4774
GRMZM2G040121	18.236	13.7477	13.7477	18.236
GRMZM2G146818	36.4234	31.5961	31.5961	36.4234
GRMZM2G080722	34.0546	23.9247	23.9247	34.0546
GRMZM2G554483	0.113914	0.0584722	0.0584722	0.113914
GRMZM2G144960	1.88028	3.19904	3.19904	1.88028
GRMZM2G049541	96.4824	49.3608	49.3608	96.4824
GRMZM2G122274	2.67704	2.96336	2.96336	2.67704
GRMZM2G354867	2.72374	2.17255	2.17255	2.72374
GRMZM2G368610	0	0	0	0
GRMZM2G087323	3.19125	8.56091	8.56091	3.19125
GRMZM2G149031	5.85407	8.08103	8.08103	5.85407
GRMZM2G326064	0	0	0	0
GRMZM2G121452	24.7506	62.1396	62.1396	24.7506
GRMZM2G050851	0	0	0	0
GRMZM2G138844	0	0	0	0
GRMZM2G113425	0	0	0	0
GRMZM2G004888	6.86855	5.40461	5.40461	6.86855
GRMZM2G121992	0	0	0	0
AC203006.3_FG005	0	0	0	0
GRMZM2G022188	9.85616	7.50602	7.50602	9.85616
GRMZM2G353268	0	0	0	0
GRMZM2G162531	3.10376	3.10588	3.10588	3.10376
GRMZM2G164141	150.197	62.8485	62.8485	150.197
GRMZM2G138985	0	0	0	0
GRMZM2G076631	2.98763	1.8291	1.8291	2.98763
GRMZM5G852097	0	0	0	0
GRMZM2G171548	4.93735	0.257074	0.257074	4.93735
GRMZM2G422510	0.0278111	0.149227	0.149227	0.0278111
GRMZM2G021256	0	0	0	0
GRMZM2G051311	13.4086	9.91358	9.91358	13.4086
GRMZM2G062318	0.101748	0.601531	0.601531	0.101748
GRMZM2G117614	47.6579	26.5452	26.5452	47.6579
GRMZM5G876616	43.7731	9.65345	9.65345	43.7731
GRMZM2G076034	0.0281046	0.471453	0.471453	0.0281046
GRMZM2G038053	0	0	0	0
GRMZM2G165082	0	0	0	0
GRMZM2G485453	0	0	0	0
GRMZM2G042443	48.3131	36.1324	36.1324	48.3131
GRMZM2G106618	0	0	0	0
GRMZM2G030571	0	0.0393724	0.0393724	0
GRMZM2G010892	1.17382	1.55221	1.55221	1.17382
GRMZM2G001524	0	0	0	0
GRMZM2G163848	58.987	52.2881	52.2881	58.987
AC200535.4_FG002	0	0	0	0
GRMZM2G094255	16.3368	17.2098	17.2098	16.3368
GRMZM2G420141	0	0	0	0
GRMZM2G027535	30.2051	18.5942	18.5942	30.2051
GRMZM2G010095	13.6769	19.6459	19.6459	13.6769
GRMZM2G037156	0	0.0439367	0.0439367	0
GRMZM2G169486	18.8084	13.4653	13.4653	18.8084
AC207896.4_FG003	0	0	0	0
GRMZM2G032267	45.9364	49.925	49.925	45.9364
GRMZM2G168020	0	0	0	0
GRMZM2G460383	4.13614	2.86924	2.86924	4.13614
GRMZM2G355610	23.5632	6.5053	6.5053	23.5632
GRMZM2G054139	0.251204	0.233455	0.233455	0.251204
GRMZM2G089850	49.1053	14.5811	14.5811	49.1053
GRMZM5G802403	1.01696	0.428284	0.428284	1.01696
GRMZM2G070446	11.9224	7.44562	7.44562	11.9224
GRMZM2G023946	5.77204	2.0967	2.0967	5.77204
GRMZM2G124051	18.1493	16.8822	16.8822	18.1493
GRMZM5G883510	0	0	0	0
GRMZM2G478892	0.890536	2.25518	2.25518	0.890536
GRMZM2G177726	0.0298824	0.0352342	0.0352342	0.0298824
GRMZM2G143655	22.2818	31.9642	31.9642	22.2818
GRMZM2G308687	0.354277	0	0	0.354277
GRMZM2G135132	3.61077	14.4612	14.4612	3.61077
GRMZM2G527941	0	0	0	0
GRMZM2G048697	0	0	0	0
GRMZM2G380650	0.471177	0.230797	0.230797	0.471177
AC206989.4_FG002	148.931	44.3432	44.3432	148.931
GRMZM2G166674	3.27721	10.3316	10.3316	3.27721
GRMZM2G095969	16.8975	22.7171	22.7171	16.8975
AC197764.4_FG003	0	0	0	0
GRMZM2G139391	0	0	0	0
GRMZM2G005990	34.8474	32.4784	32.4784	34.8474
GRMZM2G445881	0	0	0	0
GRMZM2G058279	0	0	0	0
GRMZM2G358161	0	0	0	0
GRMZM2G303587	9.25116	5.55922	5.55922	9.25116
AC226373.2_FG010	33.0423	30.3408	30.3408	33.0423
GRMZM2G167669	0.0166904	0.017071	0.017071	0.0166904
GRMZM2G422367	0	0	0	0
GRMZM2G416836	5.23012	7.65374	7.65374	5.23012
GRMZM2G066716	0	0	0	0
GRMZM2G071871	27.9349	32.5853	32.5853	27.9349
GRMZM2G305864	10.4913	9.81183	9.81183	10.4913
GRMZM2G040821	0	0	0	0
GRMZM2G174481	79.1638	76.1107	76.1107	79.1638
GRMZM2G313646	0	0	0	0
GRMZM2G045999	0.0367241	0.0448915	0.0448915	0.0367241
GRMZM2G178663	16.795	8.51167	8.51167	16.795
GRMZM2G128877	32.3121	47.1512	47.1512	32.3121
GRMZM2G097959	17.4739	15.3185	15.3185	17.4739
GRMZM2G310429	0	0	0	0
GRMZM2G167591	9.0365	35.2223	35.2223	9.0365
GRMZM5G849284	18.4136	10.3878	10.3878	18.4136
GRMZM2G047860	54.6354	49.1489	49.1489	54.6354
GRMZM2G095126	5.26552	0.348353	0.348353	5.26552
GRMZM2G032071	11.7451	21.1524	21.1524	11.7451
GRMZM2G456423	0	0	0	0
GRMZM2G086904	356.79	174.399	174.399	356.79
AC196439.3_FG002	0	0	0	0
GRMZM2G138907	3.80656	5.64707	5.64707	3.80656
GRMZM5G815453	0	0	0	0
AC199857.4_FG004	0	0	0	0
GRMZM2G154078	6.97625	0.590107	0.590107	6.97625
GRMZM2G702091	0	0	0	0
GRMZM2G114820	0.340171	0.109311	0.109311	0.340171
GRMZM2G084325	0.0347742	0.255518	0.255518	0.0347742
GRMZM2G478779	0.0839336	0.997031	0.997031	0.0839336
GRMZM5G837876	0	0	0	0
GRMZM2G374827	2.92339	4.3102	4.3102	2.92339
GRMZM5G813403	7.54537	34.9875	34.9875	7.54537
GRMZM2G109731	19.0844	17.8546	17.8546	19.0844
GRMZM2G111696	0	0	0	0
GRMZM2G149281	13.3482	28.1822	28.1822	13.3482
GRMZM2G019689	1.12588	2.12334	2.12334	1.12588
GRMZM2G083518	6.29865	9.75943	9.75943	6.29865
GRMZM2G160178	3.09383	0.785092	0.785092	3.09383
GRMZM2G088511	657.442	1654.26	1654.26	657.442
GRMZM5G844096	7.75179	8.367	8.367	7.75179
AC205695.3_FG008	0	0	0	0
GRMZM2G115705	0	0	0	0
GRMZM2G129804	9.80781	6.98832	6.98832	9.80781
GRMZM2G149038	2.66659	2.61799	2.61799	2.66659
GRMZM2G039029	22.229	7.72918	7.72918	22.229
GRMZM2G388776	0	0	0	0
GRMZM2G167998	0	0	0	0
GRMZM5G842877	14.6303	0.0601812	0.0601812	14.6303
GRMZM2G034764	14.811	2.45676	2.45676	14.811
GRMZM2G085909	38.3092	44.093	44.093	38.3092
AC197697.3_FG001	0	0	0	0
GRMZM2G124820	3.37822	9.52719	9.52719	3.37822
GRMZM5G889138	0	0.0149468	0.0149468	0
GRMZM2G429540	5.63138	7.55217	7.55217	5.63138
GRMZM2G145879	10.7476	14.4091	14.4091	10.7476
GRMZM2G101745	0	0.255111	0.255111	0
GRMZM2G568478	2.82359	4.79258	4.79258	2.82359
GRMZM2G503606	0.825598	1.99067	1.99067	0.825598
GRMZM2G001145	0	0	0	0
GRMZM2G024234	0	0	0	0
GRMZM2G124744	9.2435	83.8676	83.8676	9.2435
GRMZM2G102138	0	0	0	0
GRMZM2G064106	0	0.0571573	0.0571573	0
AC202144.5_FG001	0.67232	0.35232	0.35232	0.67232
GRMZM5G805285	0.0373581	0	0	0.0373581
GRMZM2G168669	1.31096	6.26912	6.26912	1.31096
GRMZM2G459755	6.65505	10.9328	10.9328	6.65505
GRMZM2G142157	38.9148	22.0269	22.0269	38.9148
GRMZM2G313011	0	0	0	0
GRMZM2G398603	0.057619	0.0476596	0.0476596	0.057619
GRMZM2G169412	30.0348	13.7995	13.7995	30.0348
GRMZM2G165351	46.4656	60.729	60.729	46.4656
GRMZM2G462080	0	0	0	0
GRMZM2G030223	14.5327	24.4054	24.4054	14.5327
GRMZM2G132756	0.0144514	0	0	0.0144514
GRMZM2G177458	116.597	24.4714	24.4714	116.597
GRMZM2G426953	21.0563	16.3104	16.3104	21.0563
GRMZM2G005024	12.7904	12.3103	12.3103	12.7904
GRMZM2G371620	0	0	0	0
GRMZM2G173251	0.045131	0	0	0.045131
GRMZM2G084491	20.2294	2.00984	2.00984	20.2294
GRMZM2G373621	0	0	0	0
GRMZM2G155232	3.05401	8.21451	8.21451	3.05401
GRMZM5G872499	1.99429	22.2279	22.2279	1.99429
GRMZM5G891058	0	0	0	0
GRMZM2G121468	1.50498	1.60198	1.60198	1.50498
AC225716.2_FG006	0	0	0	0
GRMZM2G329962	6.48356	4.83463	4.83463	6.48356
GRMZM2G176655	2.56255	4.87524	4.87524	2.56255
GRMZM2G158043	2.90788	4.27582	4.27582	2.90788
GRMZM2G152079	0	0	0	0
GRMZM2G158736	0	0	0	0
GRMZM2G015976	0	0	0	0
AC202107.3_FG001	1.16611	0.909212	0.909212	1.16611
GRMZM2G125023	0	0	0	0
AC204569.3_FG002	0	0	0	0
GRMZM2G015361	18.1829	131.256	131.256	18.1829
GRMZM2G090262	12.8802	13.6568	13.6568	12.8802
AC199379.4_FG001	0	0	0	0
GRMZM5G846339	19.9944	15.1525	15.1525	19.9944
GRMZM2G027105	93.035	81.7655	81.7655	93.035
GRMZM2G040975	35.3901	28.9591	28.9591	35.3901
GRMZM2G400390	0	0	0	0
GRMZM5G882986	4.2692	3.79719	3.79719	4.2692
GRMZM2G126781	0.120844	1.61949	1.61949	0.120844
GRMZM2G095646	0	0	0	0
GRMZM2G032912	0.0629047	0.413251	0.413251	0.0629047
GRMZM2G053839	0	0	0	0
GRMZM2G703624	0	0	0	0
GRMZM5G814057	0.230492	0.290871	0.290871	0.230492
GRMZM2G133314	23.9635	24.9364	24.9364	23.9635
GRMZM2G029096	3.10895	4.95887	4.95887	3.10895
GRMZM5G833760	0.914852	4.15416	4.15416	0.914852
GRMZM2G148281	2.7906	20.2937	20.2937	2.7906
GRMZM2G003379	25.4576	15.8358	15.8358	25.4576
GRMZM2G180920	4.51223	4.91868	4.91868	4.51223
GRMZM2G019999	29.5912	26.416	26.416	29.5912
GRMZM2G152801	0.0310066	0	0	0.0310066
GRMZM2G333083	0	0	0	0
GRMZM2G340403	2.04391	0.122173	0.122173	2.04391
GRMZM2G169013	23.7811	7.49808	7.49808	23.7811
GRMZM2G176396	30.136	51.0413	51.0413	30.136
GRMZM2G385705	0	0	0	0
GRMZM2G458718	0.0138375	0.0734794	0.0734794	0.0138375
GRMZM2G332258	0.0319137	0.0151402	0.0151402	0.0319137
GRMZM2G416184	19.5597	48.284	48.284	19.5597
GRMZM2G328111	0	0	0	0
GRMZM5G877788	10.678	4.28136	4.28136	10.678
GRMZM2G130897	6.85939	7.03515	7.03515	6.85939
GRMZM2G126253	58.0406	33.2824	33.2824	58.0406
GRMZM2G444100	0	0	0	0
GRMZM2G308441	0	0.134549	0.134549	0
GRMZM2G145460	11.2295	9.25808	9.25808	11.2295
GRMZM2G146940	8.56786	9.53987	9.53987	8.56786
GRMZM2G136410	0.0146204	0.00900062	0.00900062	0.0146204
GRMZM2G314488	0	0	0	0
GRMZM2G119513	5.9647	11.6475	11.6475	5.9647
GRMZM2G093038	17.9086	20.8612	20.8612	17.9086
GRMZM2G065632	0.143391	0	0	0.143391
GRMZM2G408376	24.8509	23.4443	23.4443	24.8509
GRMZM2G147226	2.98156	1.85543	1.85543	2.98156
GRMZM2G374806	0	0	0	0
GRMZM2G435642	0.231879	0.176534	0.176534	0.231879
GRMZM5G872750	0.0581142	0.0493004	0.0493004	0.0581142
GRMZM2G044569	54.6776	29.6109	29.6109	54.6776
GRMZM2G413069	12.3972	7.7622	7.7622	12.3972
GRMZM2G312838	4.90512	6.08574	6.08574	4.90512
GRMZM2G511451	0.530977	0	0	0.530977
GRMZM5G873389	0	0	0	0
GRMZM2G109879	10.8582	12.2706	12.2706	10.8582
GRMZM2G061700	3.47979	0.762638	0.762638	3.47979
GRMZM2G364369	0.157549	0.059128	0.059128	0.157549
GRMZM2G100815	35.3526	27.0874	27.0874	35.3526
GRMZM2G052357	0.654687	4.05518	4.05518	0.654687
GRMZM2G064818	0.0665039	3.21383	3.21383	0.0665039
GRMZM2G569855	44.3749	28.6365	28.6365	44.3749
GRMZM2G119720	19.0748	26.6345	26.6345	19.0748
GRMZM2G395236	1.1224	1.09384	1.09384	1.1224
GRMZM2G320167	0.591488	0.495715	0.495715	0.591488
GRMZM2G160556	26.3009	20.0286	20.0286	26.3009
GRMZM2G335978	41.2898	17.4266	17.4266	41.2898
GRMZM2G316214	0	0.0779565	0.0779565	0
GRMZM2G454206	0	0	0	0
GRMZM2G579719	19.2195	14.1911	14.1911	19.2195
GRMZM2G327263	0.601859	1.20816	1.20816	0.601859
GRMZM2G062632	0	0	0	0
GRMZM2G055446	0	0.0909041	0.0909041	0
GRMZM2G163519	15.238	5.72777	5.72777	15.238
GRMZM2G169726	0	0.0469398	0.0469398	0
GRMZM2G400281	0.0599019	0.060479	0.060479	0.0599019
GRMZM2G074307	21.0363	0.433696	0.433696	21.0363
GRMZM2G070255	13.0145	105.268	105.268	13.0145
GRMZM2G055854	0	0	0	0
GRMZM2G415117	0	0.12064	0.12064	0
GRMZM2G092719	54.8008	75.6445	75.6445	54.8008
GRMZM2G347056	42.3345	105.661	105.661	42.3345
GRMZM5G839644	0.00717466	0.0275877	0.0275877	0.00717466
GRMZM2G083572	0	0	0	0
GRMZM2G377451	0.0281759	0	0	0.0281759
GRMZM2G010302	160.052	44.3883	44.3883	160.052
GRMZM2G019353	12.8917	2.92383	2.92383	12.8917
GRMZM2G386564	0.0362889	0.241639	0.241639	0.0362889
GRMZM2G495844	0	0	0	0
GRMZM2G351747	2.47762	1.45745	1.45745	2.47762
GRMZM2G000581	4.49442	3.47493	3.47493	4.49442
GRMZM2G452150	0	0	0	0
GRMZM2G005835	0	0	0	0
GRMZM2G171248	7.88526	28.1452	28.1452	7.88526
GRMZM2G170532	16.4318	11.6702	11.6702	16.4318
GRMZM2G328133	0.119567	1.31518	1.31518	0.119567
GRMZM2G001289	11.3239	21.8337	21.8337	11.3239
GRMZM2G060394	0	0	0	0
GRMZM2G169418	0	0.0376779	0.0376779	0
GRMZM2G406101	34.9594	38.9936	38.9936	34.9594
GRMZM2G078876	47.1874	52.4094	52.4094	47.1874
GRMZM5G860768	0	0	0	0
GRMZM2G021202	0.169147	0.195686	0.195686	0.169147
GRMZM2G034697	2.71431	7.99324	7.99324	2.71431
AC202940.3_FG004	0.212128	0.333995	0.333995	0.212128
GRMZM2G110277	2.0951	4.33741	4.33741	2.0951
GRMZM2G424053	308.712	228.791	228.791	308.712
GRMZM2G069713	5.19956	8.1791	8.1791	5.19956
GRMZM5G833207	1.17956	1.20203	1.20203	1.17956
GRMZM2G165354	0.0322268	0.00958965	0.00958965	0.0322268
GRMZM2G009080	0.0311536	0	0	0.0311536
GRMZM2G323754	31.338	23.7001	23.7001	31.338
GRMZM2G379656	0	0	0	0
GRMZM2G471733	24.4899	20.3444	20.3444	24.4899
GRMZM2G460396	0.101047	0.29169	0.29169	0.101047
GRMZM2G704392	0	0	0	0
GRMZM2G165926	34.5709	53.4373	53.4373	34.5709
GRMZM2G450308	0	0	0	0
GRMZM2G107987	11.6539	18.7123	18.7123	11.6539
GRMZM2G043792	0	0	0	0
GRMZM2G071034	184.24	57.9869	57.9869	184.24
GRMZM2G010604	8.62542	9.14726	9.14726	8.62542
GRMZM2G180011	0.310532	0.435005	0.435005	0.310532
GRMZM2G314647	13.835	18.888	18.888	13.835
GRMZM2G138698	4.28869	1.89687	1.89687	4.28869
GRMZM2G096268	0.15904	0	0	0.15904
GRMZM2G028535	19.6296	20.5399	20.5399	19.6296
GRMZM2G165631	13.9032	17.4541	17.4541	13.9032
GRMZM2G004483	0	0	0	0
GRMZM2G000719	13.4181	5.23811	5.23811	13.4181
GRMZM2G471142	2.83569	16.8526	16.8526	2.83569
GRMZM2G435993	0.540017	0.622134	0.622134	0.540017
AC233922.1_FG005	33.2188	20.1441	20.1441	33.2188
GRMZM2G025231	7.60657	6.31057	6.31057	7.60657
GRMZM2G011888	3.30173	4.70193	4.70193	3.30173
GRMZM2G113064	2.13187	8.68166	8.68166	2.13187
GRMZM2G356162	0	0	0	0
GRMZM2G451672	3.91786	7.94368	7.94368	3.91786
GRMZM2G341442	0.0575089	0.137249	0.137249	0.0575089
GRMZM2G418833	0	0	0	0
GRMZM2G380605	0	0	0	0
GRMZM2G171394	11.4475	18.6631	18.6631	11.4475
GRMZM5G831795	33.2773	9.68274	9.68274	33.2773
GRMZM2G333433	4.93355	10.4652	10.4652	4.93355
GRMZM2G315726	2.5052	3.52844	3.52844	2.5052
GRMZM2G463726	62.4522	28.3473	28.3473	62.4522
GRMZM2G095782	38.5426	15.082	15.082	38.5426
GRMZM2G087083	0	0	0	0
GRMZM2G077124	89.8599	86.1454	86.1454	89.8599
GRMZM2G161587	7.62392	16.7607	16.7607	7.62392
GRMZM2G075044	0	0	0	0
GRMZM2G108424	52.5935	53.0942	53.0942	52.5935
GRMZM2G113470	32.6584	34.7335	34.7335	32.6584
GRMZM5G886799	0	0.0114962	0.0114962	0
GRMZM2G095898	2.16965	2.4833	2.4833	2.16965
GRMZM2G352858	0.0321145	0.0510532	0.0510532	0.0321145
GRMZM2G330907	0.194272	0.655515	0.655515	0.194272
GRMZM2G067710	0	0	0	0
GRMZM2G127106	0	0	0	0
GRMZM2G149182	0	0	0	0
GRMZM2G141399	24.8599	20.0962	20.0962	24.8599
GRMZM2G141205	0	0	0	0
AC204539.4_FG003	18.5162	7.53817	7.53817	18.5162
AC233893.1_FG002	30.3903	53.9106	53.9106	30.3903
GRMZM5G855304	260.213	33.7967	33.7967	260.213
GRMZM2G003720	10.3119	10.4623	10.4623	10.3119
GRMZM2G125731	0	0	0	0
GRMZM2G361855	0.819115	1.82162	1.82162	0.819115
GRMZM2G140201	73.1419	18.8161	18.8161	73.1419
GRMZM5G835987	0	0	0	0
GRMZM2G106604	0.945021	2.63305	2.63305	0.945021
GRMZM2G005456	28.7372	41.2264	41.2264	28.7372
GRMZM2G027115	26.4969	17.6733	17.6733	26.4969
GRMZM2G084369	105.669	67.7279	67.7279	105.669
GRMZM2G110242	7.91592	7.76845	7.76845	7.91592
GRMZM2G018869	7.83344	16.8429	16.8429	7.83344
GRMZM2G436523	0	0	0	0
GRMZM2G129403	0	0	0	0
AC200228.4_FG001	0	0	0	0
GRMZM2G176713	0	0	0	0
GRMZM2G703242	0	0	0	0
GRMZM2G046574	74.4171	40.0431	40.0431	74.4171
GRMZM2G381402	14.1833	8.97132	8.97132	14.1833
GRMZM2G519811	0.0805086	0.050403	0.050403	0.0805086
zma-MIR399c	0	0	0	0
GRMZM2G011178	0	0	0	0
GRMZM2G166027	0	0.0273723	0.0273723	0
GRMZM5G817934	89.5295	28.8815	28.8815	89.5295
GRMZM2G046002	2.0047	1.54079	1.54079	2.0047
GRMZM2G048274	44.9792	16.2947	16.2947	44.9792
AC194104.3_FG007	0	0	0	0
GRMZM5G808899	20.187	29.0944	29.0944	20.187
GRMZM2G451147	0.606087	0.832902	0.832902	0.606087
GRMZM2G140609	18.6434	45.6763	45.6763	18.6434
GRMZM2G062396	0	0	0	0
GRMZM2G454482	0.106871	0.0639503	0.0639503	0.106871
GRMZM2G130109	18.7278	9.04449	9.04449	18.7278
GRMZM2G155899	15.7876	11.9859	11.9859	15.7876
GRMZM2G139773	0.137927	0.153775	0.153775	0.137927
GRMZM5G862931	21.5912	24.5421	24.5421	21.5912
GRMZM2G131351	0	0	0	0
GRMZM2G176998	0.11173	0.981953	0.981953	0.11173
GRMZM2G122447	0.0183874	0.167325	0.167325	0.0183874
GRMZM2G099231	7.3152	11.3752	11.3752	7.3152
GRMZM2G300816	0.475228	0.659912	0.659912	0.475228
GRMZM2G153704	72.8794	77.4154	77.4154	72.8794
GRMZM2G157845	0	0	0	0
GRMZM5G871018	2.1434	2.46755	2.46755	2.1434
GRMZM2G063792	112.206	81.9826	81.9826	112.206
GRMZM5G862537	0	0.0520866	0.0520866	0
GRMZM6G274034	28.2918	29.7108	29.7108	28.2918
GRMZM2G159353	1.92254	0	0	1.92254
GRMZM2G066996	24.9726	14.6789	14.6789	24.9726
GRMZM2G316889	4.93574	8.22392	8.22392	4.93574
GRMZM2G120008	0	0	0	0
GRMZM2G431714	0	0	0	0
