	mt	wt	WW1	WD1
GRMZM2G042146	11.9999	35.3282	35.3282	11.9999
GRMZM2G101062	18.3557	34.0778	34.0778	18.3557
GRMZM2G071688	4.36037	2.18544	2.18544	4.36037
GRMZM5G891253	0	0	0	0
GRMZM2G302604	1.28498	0.562904	0.562904	1.28498
GRMZM2G099109	7.53951	3.42549	3.42549	7.53951
AC206266.3_FG001	0	0	0	0
GRMZM2G049201	45.0858	24.615	24.615	45.0858
GRMZM2G015384	36.4717	69.1331	69.1331	36.4717
GRMZM2G042208	8.31541	12.22	12.22	8.31541
AC200627.3_FG005	0	0	0	0
GRMZM2G305809	0	0.0358983	0.0358983	0
AC203183.3_FG001	0	0	0	0
GRMZM2G368886	11.5796	11.6967	11.6967	11.5796
AC212449.4_FG007	0.536703	1.15461	1.15461	0.536703
GRMZM2G044598	1.78668	1.56542	1.56542	1.78668
GRMZM2G073377	0	0	0	0
GRMZM2G383088	9.15375	14.7333	14.7333	9.15375
GRMZM2G088124	0	0.122608	0.122608	0
GRMZM2G043493	1.00406	13.8486	13.8486	1.00406
GRMZM2G065168	0	0	0	0
GRMZM2G338056	0	0.181317	0.181317	0
GRMZM2G013671	0	0	0	0
GRMZM2G346843	0	0	0	0
AC230011.2_FG001	0	0	0	0
GRMZM2G099909	26.1387	43.8909	43.8909	26.1387
AC186417.3_FG006	0	0	0	0
GRMZM2G702755	0	0	0	0
GRMZM2G113053	9.24063	7.47176	7.47176	9.24063
GRMZM2G470461	3.00807	4.99814	4.99814	3.00807
GRMZM2G400169	1.00525	0.955872	0.955872	1.00525
GRMZM2G043958	0.123743	0.141623	0.141623	0.123743
GRMZM2G148726	0	0.087281	0.087281	0
GRMZM2G451179	0	0	0	0
GRMZM2G010445	0	0	0	0
GRMZM2G132875	0.107055	0.35001	0.35001	0.107055
GRMZM2G067198	0	0	0	0
GRMZM2G702103	0.16674	0.158838	0.158838	0.16674
AC198398.3_FG003	0	0	0	0
GRMZM2G106105	149.443	211.901	211.901	149.443
GRMZM2G084795	0	0	0	0
AC194005.3_FG004	0	0.200866	0.200866	0
GRMZM2G348241	0	0	0	0
GRMZM2G180205	16.3288	19.7524	19.7524	16.3288
GRMZM2G404977	1.87201	0.457484	0.457484	1.87201
GRMZM2G164400	4.66269	14.3507	14.3507	4.66269
GRMZM2G068192	3.60981	2.17512	2.17512	3.60981
AC204035.3_FG003	0.381166	0.293287	0.293287	0.381166
GRMZM2G146130	0	0.942856	0.942856	0
GRMZM2G129133	0	0.192256	0.192256	0
GRMZM5G849971	1.585	1.07545	1.07545	1.585
GRMZM2G070685	0	0.00686587	0.00686587	0
GRMZM2G149060	17.7612	15.6212	15.6212	17.7612
GRMZM2G410352	0	0.268043	0.268043	0
GRMZM2G081538	43.0153	37.2289	37.2289	43.0153
GRMZM2G318526	0	0.275456	0.275456	0
GRMZM2G083130	0	0.333131	0.333131	0
AC201985.4_FG003	0	0	0	0
GRMZM2G470608	0	0	0	0
GRMZM2G085646	0.34474	0.150872	0.150872	0.34474
AC207206.3_FG001	0	0	0	0
GRMZM2G129154	0.647881	0.851877	0.851877	0.647881
GRMZM2G427729	0	0	0	0
GRMZM5G824763	0	0	0	0
GRMZM2G370162	30.9113	23.9427	23.9427	30.9113
GRMZM2G001084	104.896	27.5896	27.5896	104.896
GRMZM2G063392	0.0160229	0.0156179	0.0156179	0.0160229
GRMZM2G158734	19.815	29.2199	29.2199	19.815
GRMZM2G043277	19.2352	8.85204	8.85204	19.2352
GRMZM2G166711	4.17692	5.06886	5.06886	4.17692
GRMZM2G070011	0	0	0	0
GRMZM2G114772	0.973601	0.800901	0.800901	0.973601
GRMZM2G133895	6.60397	14.4241	14.4241	6.60397
GRMZM2G025939	4.32119	7.53719	7.53719	4.32119
GRMZM2G003090	55.2716	11.282	11.282	55.2716
GRMZM2G366065	11.8987	7.16885	7.16885	11.8987
GRMZM2G462894	0	0	0	0
GRMZM2G083620	59.3128	34.0701	34.0701	59.3128
GRMZM2G020146	5.52315	6.26482	6.26482	5.52315
AC149818.2_FG006	25.3086	41.7488	41.7488	25.3086
GRMZM2G126765	0.104753	7.11292	7.11292	0.104753
GRMZM2G056627	0.0364284	0.215013	0.215013	0.0364284
GRMZM2G067648	0.478751	0.871061	0.871061	0.478751
GRMZM2G130749	12.3358	15.5614	15.5614	12.3358
GRMZM2G150598	29.7879	46.8894	46.8894	29.7879
GRMZM2G563190	0.0110617	1.03019	1.03019	0.0110617
GRMZM2G168721	0	0.0423381	0.0423381	0
GRMZM5G880393	0	0	0	0
GRMZM5G862016	0.0264263	0	0	0.0264263
GRMZM2G044269	0	0	0	0
GRMZM2G449875	0.049628	0	0	0.049628
GRMZM2G008859	16.9346	15.3489	15.3489	16.9346
GRMZM2G040638	0	0	0	0
GRMZM2G392116	4.33505	2.39995	2.39995	4.33505
GRMZM2G118345	0.0286467	3.19593	3.19593	0.0286467
GRMZM2G171444	30.6422	12.3512	12.3512	30.6422
GRMZM2G422670	0.0310029	0.0972917	0.0972917	0.0310029
GRMZM2G474531	4.54378	0.380619	0.380619	4.54378
GRMZM2G020728	17.6576	35.5816	35.5816	17.6576
GRMZM2G043035	0	0	0	0
GRMZM2G477741	169.938	61.8432	61.8432	169.938
GRMZM2G000219	8.6085	17.8239	17.8239	8.6085
GRMZM2G474534	0.0731009	0.0629256	0.0629256	0.0731009
GRMZM2G104456	27.828	86.9995	86.9995	27.828
GRMZM2G456304	0.343381	0	0	0.343381
GRMZM2G433968	0.742034	0.503269	0.503269	0.742034
GRMZM2G064613	11.1026	17.9119	17.9119	11.1026
GRMZM2G382387	0	0	0	0
GRMZM2G429039	0	0	0	0
GRMZM2G113202	47.7455	33.5948	33.5948	47.7455
GRMZM2G129615	8.44976	8.24542	8.24542	8.44976
GRMZM2G025857	0.770691	0	0	0.770691
GRMZM2G074792	20.2596	7.04337	7.04337	20.2596
GRMZM2G010871	414.551	34.4636	34.4636	414.551
GRMZM2G447791	0	0	0	0
AC211178.3_FG004	0	0	0	0
GRMZM2G327564	67.0237	95.5864	95.5864	67.0237
GRMZM2G127774	20.6724	7.31587	7.31587	20.6724
AC186684.4_FG001	0	0	0	0
GRMZM5G824660	0	0	0	0
GRMZM2G009197	0	0	0	0
GRMZM2G089952	2.28194	0.488564	0.488564	2.28194
GRMZM2G068778	0.0572407	0.131338	0.131338	0.0572407
AC200112.4_FG008	0	0	0	0
GRMZM2G008474	0	0	0	0
GRMZM2G113888	0.0174986	0.503951	0.503951	0.0174986
GRMZM2G061806	0	0	0	0
GRMZM2G012030	43.7737	35.6329	35.6329	43.7737
GRMZM2G087817	12.7699	10.6914	10.6914	12.7699
GRMZM2G016232	229.256	1577.53	1577.53	229.256
GRMZM2G033352	36.828	18.4142	18.4142	36.828
GRMZM2G701206	4.33658	8.16096	8.16096	4.33658
GRMZM2G444278	0	0.0535951	0.0535951	0
GRMZM2G315931	22.6678	25.2967	25.2967	22.6678
GRMZM2G173534	15.0497	10.3205	10.3205	15.0497
GRMZM2G048819	13.4551	24.8939	24.8939	13.4551
GRMZM2G033273	0.731938	1.40667	1.40667	0.731938
GRMZM2G014934	0	0.0276445	0.0276445	0
GRMZM2G391831	0.0155553	0.0102583	0.0102583	0.0155553
GRMZM2G324999	0.326831	1.1896	1.1896	0.326831
GRMZM2G135940	19.3778	12.9671	12.9671	19.3778
GRMZM2G339091	0	0	0	0
AC196135.3_FG006	0	0	0	0
GRMZM2G041544	0.300817	0.786127	0.786127	0.300817
GRMZM2G322220	0	0.0208791	0.0208791	0
GRMZM2G076852	0	0	0	0
GRMZM2G129973	0.875023	7.24783	7.24783	0.875023
GRMZM2G467147	6.57414	8.11826	8.11826	6.57414
GRMZM2G096600	1.42936	1.4603	1.4603	1.42936
GRMZM2G005499	1.66445	2.91111	2.91111	1.66445
GRMZM2G136803	15.644	13.0765	13.0765	15.644
AC187080.3_FG007	1.16247	1.13909	1.13909	1.16247
GRMZM2G360873	18.5301	15.3426	15.3426	18.5301
GRMZM2G037545	0	0	0	0
GRMZM2G431306	45.4675	21.1776	21.1776	45.4675
GRMZM2G001361	0	0	0	0
GRMZM2G051545	4.64705	1.91934	1.91934	4.64705
GRMZM2G034810	0	0.0384246	0.0384246	0
GRMZM2G158216	0	0.034545	0.034545	0
GRMZM2G120964	0.0525267	0.260669	0.260669	0.0525267
GRMZM2G363813	1.89053	4.55314	4.55314	1.89053
GRMZM2G094241	24.3426	32.0259	32.0259	24.3426
GRMZM2G063765	0	5.7553	5.7553	0
GRMZM2G031528	0.394708	3.1875	3.1875	0.394708
GRMZM2G014187	0.720684	2.08582	2.08582	0.720684
AC210816.3_FG006	4.78479	4.38371	4.38371	4.78479
GRMZM2G144841	28.0468	20.6128	20.6128	28.0468
GRMZM2G026085	15.1415	52.7175	52.7175	15.1415
GRMZM5G897818	19.0701	23.5362	23.5362	19.0701
GRMZM2G557799	0	0	0	0
GRMZM2G022625	14.7175	12.2968	12.2968	14.7175
GRMZM2G163561	56.2337	157.001	157.001	56.2337
GRMZM2G132384	0	0	0	0
GRMZM6G798998	37.8521	54.8607	54.8607	37.8521
GRMZM2G327695	0	0	0	0
GRMZM2G146720	0.230375	0.488688	0.488688	0.230375
GRMZM2G437675	3.75257	2.63213	2.63213	3.75257
GRMZM5G883760	0	0	0	0
GRMZM2G473274	0.173982	0.0681162	0.0681162	0.173982
GRMZM2G029690	0.0837127	1.36228	1.36228	0.0837127
GRMZM2G538535	0	0.0160982	0.0160982	0
GRMZM2G117164	36.8815	0.141549	0.141549	36.8815
GRMZM2G004519	0.465949	3.32824	3.32824	0.465949
GRMZM2G079256	50.4529	47.4291	47.4291	50.4529
GRMZM2G386350	1.76328	1.27822	1.27822	1.76328
GRMZM2G095340	0	0	0	0
GRMZM2G012977	7.61011	4.48622	4.48622	7.61011
GRMZM2G017520	0.153871	0.667462	0.667462	0.153871
GRMZM2G045090	23.9741	18.4298	18.4298	23.9741
GRMZM2G012384	0	0	0	0
GRMZM2G084327	0	0	0	0
GRMZM2G014977	0.375652	0.665791	0.665791	0.375652
GRMZM2G702783	0	0	0	0
